일,롱패딩: (대한민국),원피스: (대한민국),여성롱패딩: (대한민국),남자롱패딩: (대한민국),잠옷: (대한민국),롱패딩: (대한민국),여자롱패딩: (대한민국),여성숏패딩: (대한민국),여성패딩: (대한민국),반팔티: (대한민국),롱패딩: (대한민국),숏패딩: (대한민국),트위드자켓: (대한민국),트렌치코트: (대한민국),여성경량패딩: (대한민국),롱패딩: (대한민국),핸드메이드코트: (대한민국),쥬시쥬디: (대한민국),블라우스: (대한민국),나이키바람막이: (대한민국),롱패딩: (대한민국),여성트레이닝세트: (대한민국),바람막이: (대한민국),후드집업: (대한민국),여자트렌치코트: (대한민국),롱패딩: (대한민국),롱원피스: (대한민국),써스데이아일랜드원피스: (대한민국),반바지: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),롱패딩: (대한민국),팬츠: (대한민국),가을원피스: (대한민국),나이키후드티: (대한민국),맨투맨: (대한민국),롱패딩: (대한민국),반팔티: (대한민국),아르마니익스체인지: (대한민국),루시앙: (대한민국),나이키맨투맨: (대한민국),롱패딩: (대한민국),하객원피스: (대한민국),리버클래시정장: (대한민국),dabagirl: (대한민국),후드티: (대한민국),롱패딩: (대한민국),나우포그니플리스: (대한민국),니트원피스: (대한민국),여성가디건: (대한민국),핸드메이드코트: (대한민국),롱패딩: (대한민국),후리스: (대한민국),패딩: (대한민국),여성경량패딩: (대한민국),남자경량패딩: (대한민국),롱패딩: (대한민국),노스페이스패딩: (대한민국),커플잠옷: (대한민국),수면잠옷: (대한민국),남자반팔티: (대한민국),롱패딩: (대한민국),여성린넨자켓: (대한민국),트위드자켓: (대한민국),메종키츠네반팔: (대한민국),여름원피스: (대한민국),롱패딩: (대한민국),라코스테원피스: (대한민국),여성점프수트: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),남자반바지: (대한민국)
2020-12-06,2,27,0,0,2,18,0,0,18,9,18,28,9,0,0,18,0,0,0,0,18,0,9,0,0,18,0,0,0,0,16,16,0,0,33,18,9,0,0,0,18,0,0,0,28,18,0,9,0,0,6,3,48,0,0,18,0,0,0,0,18,0,9,0,0,18,0,0,0,0
2020-12-07,0,31,0,0,1,0,0,0,0,0,0,32,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,21,0,0,0,0,8,0,0,0,0,24,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,6,27,0,0,1,63,0,0,0,0,63,16,0,8,0,63,8,0,8,0,63,0,16,16,0,63,0,0,16,0,56,42,0,0,42,63,0,0,0,0,63,0,0,0,16,63,0,0,0,8,20,5,51,0,0,63,0,0,0,0,63,0,0,0,0,63,0,0,0,0
2020-12-09,3,20,0,0,3,32,0,0,0,8,32,8,0,0,0,32,0,0,8,0,32,0,24,24,0,32,0,0,16,0,28,7,0,21,21,32,8,0,0,0,32,0,0,0,55,32,0,0,0,0,10,3,49,0,0,32,8,0,16,0,32,0,0,0,0,32,0,0,0,0
2020-12-10,3,37,0,0,2,31,0,0,8,8,31,23,0,8,0,31,0,0,0,0,31,0,8,0,0,31,0,0,8,0,28,28,0,0,14,31,8,0,0,0,31,0,0,0,15,31,0,0,0,0,10,8,58,0,0,31,0,8,0,0,31,0,0,0,0,31,0,0,0,0
2020-12-11,1,46,0,0,1,16,0,0,0,0,16,16,0,0,0,16,0,0,25,0,16,0,0,0,0,16,0,0,8,0,15,29,0,0,51,16,0,0,0,8,16,0,0,0,25,16,0,0,0,0,5,3,43,0,0,16,0,0,8,0,16,0,0,0,0,16,0,0,0,0
2020-12-12,2,39,0,0,2,18,0,0,0,0,18,18,0,0,0,18,0,0,9,0,18,0,0,0,0,18,0,0,9,0,16,16,0,8,24,18,0,0,0,9,18,0,0,0,36,18,0,0,0,0,6,3,50,0,0,18,9,0,9,0,18,0,0,0,0,18,0,0,0,0
2020-12-13,1,20,0,0,2,9,0,0,9,0,9,61,0,9,0,9,0,0,0,0,9,0,17,9,0,9,0,0,9,0,8,39,0,8,23,9,0,0,0,0,9,0,0,0,17,9,0,0,0,0,3,0,45,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0
2020-12-14,3,24,0,0,1,30,0,0,8,0,30,30,0,0,0,30,0,0,8,0,30,0,8,8,0,30,0,0,0,0,27,27,0,0,14,30,0,0,0,0,30,0,0,0,8,30,0,8,0,0,10,5,82,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0
2020-12-15,6,23,0,0,3,62,0,0,8,0,62,16,0,8,0,62,8,0,0,0,62,0,15,31,0,62,0,0,16,0,56,28,0,0,42,62,0,0,0,0,62,0,0,0,23,62,0,8,0,8,20,5,71,0,0,62,8,0,0,0,62,0,0,0,0,62,0,0,0,0
2020-12-16,1,23,1,0,2,16,0,0,16,0,16,8,0,8,0,16,0,0,0,0,16,0,0,8,0,16,8,0,8,0,14,28,0,7,21,16,0,0,0,0,16,0,0,0,16,16,0,0,8,0,5,3,53,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,0,0
2020-12-17,2,41,1,0,5,23,0,0,23,0,23,23,8,15,0,23,0,0,0,0,23,0,8,8,0,23,0,0,0,0,21,34,0,0,14,23,0,0,0,0,23,0,0,0,8,23,0,0,0,0,7,5,40,0,0,23,8,0,8,0,23,0,8,0,0,23,0,0,0,0
2020-12-18,2,57,0,0,4,25,0,0,0,0,25,41,0,0,0,25,0,0,0,0,25,0,8,0,0,25,0,0,0,0,22,37,0,0,22,25,0,0,0,0,25,0,0,0,8,25,0,0,0,0,8,8,51,0,0,25,0,8,0,0,25,0,0,0,0,25,0,0,0,0
2020-12-19,3,33,0,0,3,38,0,0,9,9,38,38,9,9,0,38,0,0,0,0,38,0,28,0,0,38,0,0,0,0,34,17,0,0,51,38,9,0,0,0,38,0,0,0,19,38,0,0,0,0,12,3,71,0,0,38,9,0,9,0,38,0,9,0,0,38,0,0,0,0
2020-12-20,2,30,0,0,0,18,0,0,9,9,18,0,0,0,0,18,0,0,0,0,18,0,9,9,0,18,0,0,9,0,16,49,0,8,16,18,9,0,0,0,18,0,0,0,0,18,0,28,0,0,6,6,45,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,9
